date,contents
2000-04-01,"[""1939 – Tổng thống lĩnh Francisco Franco tuyên bố Nội chiến Tây Ban Nha kết thúc khi lực lượng cộng hoà cuối cùng đầu hàng."",""1946 – Các khu định cư Eo biển (hình) giải thể, Penang, Malacca cùng các quốc gia Mã Lai hình thành Liên hiệp Malaya, Singapore trở thành một thuộc địa vương thất riêng của Anh."",""1975 – Nội chiến Campuchia: Trong khi Khmer Đỏ bao vây Phnôm Pênh, Lon Nol tuyên bố từ chức Tổng thống nước Cộng hòa Khmer rồi đào thoát ra ngoại quốc.""]"
2000-04-02,"[""1513 – Juan Ponce de León trở thành người châu Âu đầu tiên nhìn thấy vùng đất mà nay là bang Florida của Hoa Kỳ."",""1558 – Vương quốc Lan Na thất thủ trước quân Taungoo dưới quyền Bayinnaung, trở thành một quốc gia bị Miến Điện bảo hộ."",""1982 – Chiến tranh Falkland: Quân đội Argentina đánh chiếm quần đảo Falkland dẫn đến phản công của Quân đội Anh sau đó.""]"
2000-04-03,"[""1922 – Iosif Vissarionovich Stalin trở thành Tổng bí thư đầu tiên của Đảng Cộng sản Liên Xô."",""1948 – Tổng thống Hoa Kỳ Harry S. Truman ký Kế hoạch Marshall (hình), theo đó dành 5 tỷ Đô la Mỹ để viện trợ cho 16 quốc gia."",""1969 – Chiến tranh Việt Nam: Bộ trưởng Quốc phòng Hoa Kỳ Melvin Laird thông báo Hoa Kỳ sẽ bắt đầu nỗ lực ""Việt Nam hóa chiến tranh"".""]"
2000-04-04,"[""1081 – Alexios I Komnenos được Thượng phụ Cosmas I phong làm hoàng đế Byzantine, sau khi Nikephoros III bị truất ngôi."",""1925 – Tổ chức bán quân sự Schutzstaffel (SS) được thành lập dưới quyền Đảng Quốc xã của Adolf Hitler tại Cộng hòa Weimar."",""1928 – Tòa Trọng tài Thường trực La Haye đưa ra kết luận đảo Palmas thuộc về Đông Ấn Hà Lan trong vụ kiện giữa Hà Lan và Hoa Kỳ."",""1949 – 12 quốc gia ký Hiệp ước Bắc Đại Tây Dương tại Washington, D.C, thành lập Tổ chức Hiệp ước Bắc Đại Tây Dương (NATO)"",""1990 – Quốc hội Trung Quốc thông qua Luật Cơ bản Hồng Kông để chuẩn bị khung pháp lý cho khu vực Hồng Kông thời kỳ hậu thuộc địa.""]"
2000-04-05,"[""1722 – Nhà thám hiểm người Hà Lan Jakob Roggeveen phát hiện ra một hòn đảo trên Thái Bình Dương vào ngày lễ Phục Sinh, ông đặt tên nó là đảo Phục Sinh (hình tượng Moai)."",""1942 – Chiến tranh thế giới thứ hai: Hải quân Đế quốc Nhật Bản tiến hành không kích Colombo, Ceylon với các tàu sân bay của họ.""]"
2000-04-06,"[""1782 – Tướng quân Maha Kshatriyaseuk lật đổ Quốc vương Taksin, đăng cơ làm tân vương, sáng lập vương triều Chakri."",""1886 – Vancouver được hợp nhất thành một thành phố, nay là hạt nhân của vùng đô thị lớn thứ ba tại Canada."",""1992 – Chiến tranh Bosnia chính thức bùng phát do xung đột sắc tộc giữa người Hồi giáo Bosnia, người Serb và người Croat tại Bosnia và Herzegovina.""]"
2000-04-07,"[""1767 – Chiến tranh Xiêm–Miến kết thúc khi quân Konbaung chiếm được kinh đô của Ayutthaya."",""1954 – Tổng thống Hoa Kỳ Dwight D. Eisenhower có bài phát biểu về ""thuyết domino"" trong một cuộc họp báo."",""1994 – Nạn diệt chủng Rwanda bắt đầu với các vụ sát hại hàng loạt người Tutsi tại thủ đô Kigali, tổng số nạn nhân của cuộc diệt chủng là khoảng 800.000 người."",""2018 – Nội chiến Syria: Quân chính phủ Syria phát động tấn công Douma trong khuôn khổ Cuộc tấn công Rif Dimashq.""]"
2000-04-08,"[""217 – Hoàng đế La Mã Caracalla bị Trưởng quan Cận vệ Macrinus ám sát, Macrinus sau đó trở thành hoàng đế của La Mã."",""1812 – Sa hoàng Aleksandr I của Nga chính thức tuyên bố chuyển vị thế thủ đô Phần Lan từ Turku sang Helsinki, nhằm giảm ảnh hưởng của Thụy Điển.""]"
2000-04-09,"[""1288 – Quân Trần dưới quyền Trần Hưng Đạo giành chiến thắng trước quân Nguyên trong trận Bạch Đằng "",""1865 – Nội chiến Hoa Kỳ chấm dứt trên thực tế khi tướng miền Nam Robert E. Lee đầu hàng tướng miền Bắc Ulysses S. Grant."",""1940 – Chiến tranh thế giới thứ hai: Quân đội Đức tiến hành Chiến dịch Weserübung, đồng thời tiến công Đan Mạch và Na Uy.""]"
2000-04-10,"[""1864 – Đại công tước Maximiliano của Habsburg được tuyên bố là hoàng đế của Mexico trong quá trình Pháp can thiệp vào nước này."",""1959 – Hoàng thái tử Akihito kết hôn với Michiko, bà là thường dân đầu tiên kết hôn với một thành viên hoàng thất Nhật Bản."",""1979 – Tổng thống Hoa Kỳ Jimmy Carter ký thành luật ""Đạo luật Quan hệ Đài Loan"", duy trì quan hệ ngoại giao thực chất với Đài Loan.""]"
